system,code,warehouse_meaning,warehouse_row_count,warehouse_patient_count,atom_count,direct_atom_count,atom_ids,atom_names,phenotypes,mapping_roles,audit_flag
ICD10,I42.2,Other hypertrophic cardiomyopathy,3940,318,4,4,asymmetric_septal_hypertrophy | hypertrophic_cardiomyopathy | thick_walls | wt13_sarcomeric_hcm,Asymmetric / basal septal hypertrophy | Hypertrophic cardiomyopathy | Sarcomeric HCM / hypertensive remodeling | Unexplained left-ventricular wall thickness / LVH,AL | ATTRV | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,Z95.0,Presence of cardiac pacemaker,1424,318,4,4,af | arrhythmia | pacemaker_implantation | pacemaker_presence,Atrial fibrillation or flutter | Pacemaker implantation | arrhythmia | pacemaker presence,AL | ATTRV | ATTRWT | ATTRV | ATTRV | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.312,"Trigger thumb, left thumb",1242,276,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.30,"Trigger finger, unspecified finger",1195,275,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,G60.9,"Hereditary and idiopathic neuropathy, unspecified",1561,249,2,2,mild_sensory_polyneuropathy | sfn,Mild-to-moderate length-dependent sensory polyneuropathy | Small-fiber neuropathy,AL | ATTRV | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N04.9,Nephrotic syndrome with unspecified morphologic changes,9810,241,2,2,al28_competing_effusion | nephrotic_syndrome,Competing cause of serosal effusion | Nephrotic syndrome,AL,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I48.21,Permanent atrial fibrillation,3420,230,2,2,af | arrhythmia,Atrial fibrillation or flutter | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.342,"Trigger finger, left ring finger",1212,227,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I48.3,Typical atrial flutter,2048,222,2,2,af | arrhythmia,Atrial fibrillation or flutter | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,K59.1,Functional diarrhea,1251,220,3,3,constipation | diarrhea | gi_dysmotility,Unexplained gastrointestinal dysmotility | constipation | diarrhea,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
