code,meaning,candidate_origins,suggested_atom_ids,suggested_atom_names,suggestion_scores
S06.352S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.353D,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.353S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.354A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.354D,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.354S,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.355A,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.355D,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.355S,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.356A,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.356D,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.356S,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.357A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.358A,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.35AS,"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.360S,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.361S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.362A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.362D,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.362S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.363S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.364A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.364D,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.364S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.365A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.365D,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.366A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.366D,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.366S,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",ATOM_PHRASE_MATCH,age_excessive_snhl | syncope,Bilateral sensorineural hearing loss disproportionate to age | Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss) | age_excessive_snhl:3.0(tokens=greater,loss,than)"
S06.36AS,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.370D,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.370S,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.371A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.371D,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.371S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.372A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.372D,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.372S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.373A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.373D,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.373S,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
S06.374A,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours, initial encounter",ATOM_PHRASE_MATCH,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)"
